metric_name,count,suggested_action,suggested_field_key,suggested_name_cn,suggested_alias,score,validator_status,validator_reason,unit,topic_examples,table_title_examples,page_examples,report_examples,candidate_details
商业道德,1,review_candidate_rejected,anti_corruption_training_sessions,反腐败培训次数,商业道德,0.92,rejected,required_keyword_missing,,,ESG 报告附录表格,page_61_left.png,004_002249_大洋电机_2024_大洋电机：大洋电机2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""anti_corruption_training_sessions"", ""name_cn"": ""反腐败培训次数"", ""alias"": ""商业道德培训次数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""anti_corruption_training_participants"", ""name_cn"": ""反腐败培训人数"", ""alias"": ""商业道德培训人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
污染物排放,1,review_candidate_rejected,air_pollutant_emissions,废气或大气污染物排放量,污染物排放,0.92,rejected,required_keyword_missing,,环境,索引,page_50.png,004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,"[{""field_key"": ""air_pollutant_emissions"", ""name_cn"": ""废气或大气污染物排放量"", ""alias"": ""大气污染物排放量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
员工,1,review_candidate_rejected,total_employees,员工总数,员工,0.92,rejected,required_keyword_missing,,社会,索引,page_50.png,004_600206_有研新材_2024_有研新材：有研新材料股份有限公司2024年度环境、社会及治理（ESG）报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""员工总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""male_employees"", ""name_cn"": ""男性员工人数"", ""alias"": ""男性员工人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""female_employees"", ""name_cn"": ""女性员工人数"", ""alias"": ""女性员工人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
环保投资次数,1,review_candidate_rejected,environmental_investment,环保投入金额,环保投资次数,0.92,rejected,unit_type_mismatch:money,场次,,ESG绩效表-环境绩效,page_52.png,005_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,"[{""field_key"": ""environmental_investment"", ""name_cn"": ""环保投入金额"", ""alias"": ""环保投资"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:money""}]"
按性别划分的雇员总数,1,review_candidate_rejected,total_employees,员工总数,按性别划分的雇员总数,0.92,rejected,forbidden_keyword_hit,人,,ESG绩效表-社会绩效,page_52.png,005_002302_西部建设_2024_西部建设：2024年度环境、社会和公司治理（ESG）报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""雇员总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
培训时长,1,review_candidate_rejected,training_total_hours,员工培训总时长,培训时长,0.92,rejected,required_keyword_missing,小时,,量化数据绩效表-安全培训,page_52_left.png,005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,"[{""field_key"": ""training_total_hours"", ""name_cn"": ""员工培训总时长"", ""alias"": ""累计培训时长"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
接受反商业贿赂及反贪污培训的董事人数,1,review_candidate_rejected,board_size,董事会人数,接受反商业贿赂及反贪污培训的董事人数,0.92,rejected,quantitative_field_requires_numeric_value,人,反商业贿赂及反贪污,ESG 数据表,page_59_left.png,005_600521_华海药业_2024_华海药业：浙江华海药业股份有限公司2024年度企业社会责任报告,"[{""field_key"": ""board_size"", ""name_cn"": ""董事会人数"", ""alias"": ""董事人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""quantitative_field_requires_numeric_value""}]"
其中30岁及以下的员工总数,1,review_candidate_rejected,total_employees,员工总数,其中30岁及以下的员工总数,0.92,rejected,forbidden_keyword_hit,人,,社会绩效,page_65_right.png,006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""员工总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
帮扶困难员工总人数,1,review_candidate_rejected,total_employees,员工总数,帮扶困难员工总人数,0.92,rejected,quantitative_field_requires_numeric_value,人,,社会绩效,page_66_left.png,006_600587_新华医疗_2024_新华医疗：新华医疗2024年度ESG报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""员工总人数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""quantitative_field_requires_numeric_value""}]"
2024年安全培训覆盖率：100%；安全培训场次：19场；员工安全培训时长：2558小时,1,review_candidate_rejected,training_coverage_rate,员工培训覆盖率,2024年安全培训覆盖率：100%；安全培训场次：19场；员工安全培训时长：2558小时,0.92,rejected,forbidden_keyword_hit,,,安全生产管理-消防安全,page_22.png,007_002486_嘉麟杰_2024_嘉麟杰：2024年社会责任报告,"[{""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
温室气体排放量,1,review_candidate_rejected,scope_1_emissions,范围一温室气体排放量,温室气体排放量,0.92,rejected,required_keyword_missing,万吨二氧化碳当量,,关键绩效表-环保绩效,page_45_left.png,007_600916_中国黄金_2024_中国黄金：中国黄金集团黄金珠宝股份有限公司2024环境、社会及管治(ESG)报告,"[{""field_key"": ""scope_1_emissions"", ""name_cn"": ""范围一温室气体排放量"", ""alias"": ""范围一温室气体排放量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""scope_2_emissions"", ""name_cn"": ""范围二温室气体排放量"", ""alias"": ""范围二温室气体排放量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
——员工流动率,1,review_candidate_rejected,employee_turnover_rate,员工流失率,——员工流动率,0.92,rejected,quantitative_field_requires_numeric_value,,,按年龄划分,page_48.png,008_002649_博彦科技_2024_博彦科技：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""employee_turnover_rate"", ""name_cn"": ""员工流失率"", ""alias"": ""员工流动率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""quantitative_field_requires_numeric_value""}]"
总行人均用电量（度/人）,1,review_candidate_rejected,electricity_consumption,用电量,总行人均用电量（度/人）,0.92,rejected,unit_type_mismatch:energy,度/人,环境类,关键绩效表-环境类,page_30.png,008_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,"[{""field_key"": ""electricity_consumption"", ""name_cn"": ""用电量"", ""alias"": ""用电量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:energy""}]"
总行人均耗电量,1,review_candidate_rejected,electricity_consumption,用电量,总行人均耗电量,0.92,rejected,unit_type_mismatch:energy,度/人,环境类,环境类指标表,page_30_right.png,008_600928_西安银行_2024_西安银行：西安银行股份有限公司2024年社会责任(ESG)报告,"[{""field_key"": ""electricity_consumption"", ""name_cn"": ""用电量"", ""alias"": ""耗电量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:energy""}]"
采购培训覆盖率,1,review_candidate_rejected,training_coverage_rate,员工培训覆盖率,采购培训覆盖率,0.92,rejected,forbidden_keyword_hit,%,,供应商管理绩效,page_83_left.png,009_002811_郑中设计_2024_郑中设计：2024年度环境、社会及公司治理（ESG）报告,"[{""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
电,1,review_candidate_rejected,electricity_consumption,用电量,电,0.92,rejected,required_keyword_missing,千瓦时,能源管理,能源管理,page_54.png,009_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,"[{""field_key"": ""electricity_consumption"", ""name_cn"": ""用电量"", ""alias"": ""用电量"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
员工培训,1,review_candidate_rejected,training_total_hours,员工培训总时长,员工培训,0.92,rejected,required_keyword_missing,,劳动关系管理,福利与薪酬,page_56.png,009_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,"[{""field_key"": ""training_total_hours"", ""name_cn"": ""员工培训总时长"", ""alias"": ""员工培训总时长"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""员工培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}, {""field_key"": ""trained_employees_count"", ""name_cn"": ""受训员工人数"", ""alias"": ""员工培训人次"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
安全风险防控培训覆盖率,1,review_candidate_rejected,training_coverage_rate,员工培训覆盖率,安全风险防控培训覆盖率,0.92,rejected,forbidden_keyword_hit,%,职业健康与安全生产,中国一重2024年环境，社会和治理（ESG）报告-绩效表,page_57.png,009_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,"[{""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
安全风险防护培训覆盖率,1,review_candidate_rejected,training_coverage_rate,员工培训覆盖率,安全风险防护培训覆盖率,0.92,rejected,forbidden_keyword_hit,%,安全生产,中国一重2024年环境，社会和治理（ESG）报告-员工培训与发展与安全生产及职业健康,page_57_left.png,009_601106_中国一重_2024_中国一重：中国第一重型机械股份公司2024年度ESG报告,"[{""field_key"": ""training_coverage_rate"", ""name_cn"": ""员工培训覆盖率"", ""alias"": ""培训覆盖率"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""forbidden_keyword_hit""}]"
男性员工平均受训时长,1,review_candidate_rejected,male_employees,男性员工人数,男性员工平均受训时长,0.92,rejected,unit_type_mismatch:person_count,小时,,员工培训与发展,page_97.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""male_employees"", ""name_cn"": ""男性员工人数"", ""alias"": ""男性员工"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:person_count""}]"
女性员工平均受训时长,1,review_candidate_rejected,female_employees,女性员工人数,女性员工平均受训时长,0.92,rejected,unit_type_mismatch:person_count,小时,,员工培训与发展,page_97.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""female_employees"", ""name_cn"": ""女性员工人数"", ""alias"": ""女性员工"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:person_count""}]"
职员,1,review_candidate_rejected,total_employees,员工总数,职员,0.92,rejected,required_keyword_missing,,,同工同酬,page_97.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""total_employees"", ""name_cn"": ""员工总数"", ""alias"": ""在职员工总数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
男性员工人均受训时长,1,review_candidate_rejected,male_employees,男性员工人数,男性员工人均受训时长,0.92,rejected,unit_type_mismatch:person_count,小时,,员工培训与发展,page_97_left.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""male_employees"", ""name_cn"": ""男性员工人数"", ""alias"": ""男性员工"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:person_count""}]"
女性员工人均受训时长,1,review_candidate_rejected,female_employees,女性员工人数,女性员工人均受训时长,0.92,rejected,unit_type_mismatch:person_count,小时,,员工培训与发展,page_97_left.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""female_employees"", ""name_cn"": ""女性员工人数"", ""alias"": ""女性员工"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:person_count""}]"
研发投入金额占营业收入比例,1,review_candidate_rejected,r_and_d_expense,研发投入金额,研发投入金额占营业收入比例,0.92,rejected,unit_type_mismatch:money,%,,研发与创新,page_98_right.png,010_002913_奥士康_2025_奥士康：社会责任报告,"[{""field_key"": ""r_and_d_expense"", ""name_cn"": ""研发投入金额"", ""alias"": ""研发投入金额"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""unit_type_mismatch:money""}]"
培训次数,1,review_candidate_rejected,anti_corruption_training_sessions,反腐败培训次数,培训次数,0.92,rejected,required_keyword_missing,次,员工培训,员工培训情况表,page_31_left.png,011_002939_长城证券_2024_长城证券：2024年度社会责任暨环境、社会及公司治理（ESG）报告,"[{""field_key"": ""anti_corruption_training_sessions"", ""name_cn"": ""反腐败培训次数"", ""alias"": ""反腐败培训次数"", ""score"": 0.92, ""validator_status"": ""rejected"", ""validator_reason"": ""required_keyword_missing""}]"
